geometry;name;price_level;rating;types;user_ratings_total;vicinity;longitude;latitude
{'location': {'lat': 52.37607779999999, 'lng': 4.891934499999999}, 'viewport': {'northeast': {'lat': 52.3773916302915, 'lng': 4.893445680291503}, 'southwest': {'lat': 52.3746936697085, 'lng': 4.890747719708498}}};Angus Burger bar;;3,4;Grill;38;Lijnbaanssteeg 1, Amsterdam; 4.891934499999999;52.37607779999999
{'location': {'lat': 52.37621859999999, 'lng': 4.892371899999999}, 'viewport': {'northeast': {'lat': 52.37753448029149, 'lng': 4.893784330291502}, 'southwest': {'lat': 52.3748365197085, 'lng': 4.891086369708497}}};Curry Express;;3,7;Indian;70;Spuistraat 50, Amsterdam; 4.892371899999999;52.37621859999999
{'location': {'lat': 52.3759125, 'lng': 4.8926604}, 'viewport': {'northeast': {'lat': 52.3772218302915, 'lng': 4.894094080291502}, 'southwest': {'lat': 52.3745238697085, 'lng': 4.891396119708498}}};MOUSSAIQUE;;4,3;Classic;42;Nieuwezijds Voorburgwal 88, Amsterdam; 4.8926604;52.3759125
{'location': {'lat': 52.37599179999999, 'lng': 4.892773599999999}, 'viewport': {'northeast': {'lat': 52.37731533029149, 'lng': 4.894216430291501}, 'southwest': {'lat': 52.37461736970849, 'lng': 4.891518469708497}}};"Pizzeria ""La Bettola""";;3,6;Italian;271;Nieuwezijds Voorburgwal 82, Amsterdam; 4.892773599999999;52.37599179999999
{'location': {'lat': 52.3758965, 'lng': 4.8934381}, 'viewport': {'northeast': {'lat': 52.3771857302915, 'lng': 4.894630780291501}, 'southwest': {'lat': 52.3744877697085, 'lng': 4.891932819708496}}};Casa Del Toro;;3,4;Grill;263;Nieuwezijds Voorburgwal 77, Amsterdam; 4.893448099999999;52.3759021
{'location': {'lat': 52.3782572, 'lng': 4.8817517}, 'viewport': {'northeast': {'lat': 52.3795676802915, 'lng': 4.883119530291502}, 'southwest': {'lat': 52.3768697197085, 'lng': 4.880421569708498}}};Café Parlotte;;5;Cafe;7;Westerstraat 182, Amsterdam;4.880643200000001;52.3794825
{'location': {'lat': 52.37792539999999, 'lng': 4.8856157}, 'viewport': {'northeast': {'lat': 52.3792566802915, 'lng': 4.887016430291503}, 'southwest': {'lat': 52.3765587197085, 'lng': 4.884318469708498}}};New Dutch Amsterdam (Breakfast, Lunch & Brunch);;4,9;Classic;178;Prinsengracht 60-62, Amsterdam;4.8808862;52.37981449999999
{'location': {'lat': 52.37869600000001, 'lng': 4.884316999999999}, 'viewport': {'northeast': {'lat': 52.3800245802915, 'lng': 4.885674630291502}, 'southwest': {'lat': 52.3773266197085, 'lng': 4.882976669708497}}};Café Carbòn Jordaan;;4,5;Cafe;62;Westerstraat 74, Amsterdam;4.8814226;52.3778188
{'location': {'lat': 52.37823909999999, 'lng': 4.8832116}, 'viewport': {'northeast': {'lat': 52.3796171802915, 'lng': 4.884526080291503}, 'southwest': {'lat': 52.3769192197085, 'lng': 4.881828119708499}}};Swietie Sranang;;4;Fastfood;4;Westerstraat 113II, Amsterdam;4.881554;52.37756429999999
{'location': {'lat': 52.379087, 'lng': 4.88463}, 'viewport': {'northeast': {'lat': 52.38047538029149, 'lng': 4.885952830291502}, 'southwest': {'lat': 52.37777741970849, 'lng': 4.883254869708497}}};Wijnbar diVino;;4,3;Bar;183;Boomstraat 41A, Amsterdam;4.88157;52.37743
{'location': {'lat': 52.37875709999999, 'lng': 4.894483}, 'viewport': {'northeast': {'lat': 52.3800515802915, 'lng': 4.895702080291502}, 'southwest': {'lat': 52.3773536197085, 'lng': 4.893004119708498}}};Stro Brasserie;;4;Classic;55;Stromarkt 1, Amsterdam;4.881666699999999;52.37833329999999
{'location': {'lat': 52.37966609999999, 'lng': 4.8827358}, 'viewport': {'northeast': {'lat': 52.3810052302915, 'lng': 4.884019080291502}, 'southwest': {'lat': 52.3783072697085, 'lng': 4.881321119708497}}};Afhaalcentrum Terang Boelan;;4,7;Fastfood;81;Tweede Lindendwarsstraat 3, Amsterdam;4.88172;52.3771534
{'location': {'lat': 52.378524, 'lng': 4.9005154}, 'viewport': {'northeast': {'lat': 52.37987363029149, 'lng': 4.901903380291502}, 'southwest': {'lat': 52.37717566970849, 'lng': 4.899205419708498}}};Burger King;2;3,6;Fastfood;863;Stationsplein 5, Amsterdam;4.8817517;52.3782572
{'location': {'lat': 52.3789457, 'lng': 4.8853206}, 'viewport': {'northeast': {'lat': 52.3802408802915, 'lng': 4.886699630291502}, 'southwest': {'lat': 52.3775429197085, 'lng': 4.884001669708497}}};Boca's;2;4,3;Classic;389;Westerstraat 30, Amsterdam;4.881802700000001;52.3771222
{'location': {'lat': 52.3780549, 'lng': 4.883558799999999}, 'viewport': {'northeast': {'lat': 52.37939958029149, 'lng': 4.884887180291503}, 'southwest': {'lat': 52.37670161970849, 'lng': 4.882189219708498}}};Restaurant Jottum;2;4,3;Classic;222;Eerste Anjeliersdwarsstraat 17, Amsterdam;4.881821;52.3773318
{'location': {'lat': 52.37884750000001, 'lng': 4.885101199999999}, 'viewport': {'northeast': {'lat': 52.3801652302915, 'lng': 4.886469380291502}, 'southwest': {'lat': 52.3774672697085, 'lng': 4.883771419708498}}};HINATA AMSTERDAM;2;4,6;Asian;395;Westerstraat 40, Amsterdam;4.881825200000001;52.3771437
{'location': {'lat': 52.37803, 'lng': 4.883281999999999}, 'viewport': {'northeast': {'lat': 52.3793989802915, 'lng': 4.884726380291502}, 'southwest': {'lat': 52.37670101970851, 'lng': 4.882028419708497}}};Restaurant Kinnaree;2;4,4;Asian;253;Eerste Anjeliersdwarsstraat 14, Amsterdam;4.8818686;52.377246
{'location': {'lat': 52.377969, 'lng': 4.8833818}, 'viewport': {'northeast': {'lat': 52.3793318302915, 'lng': 4.884796880291502}, 'southwest': {'lat': 52.3766338697085, 'lng': 4.882098919708498}}};Shah Jahan Indian Restaurant;2;4,4;Indian;307;Eerste Anjeliersdwarsstraat 18, Amsterdam;4.881905499999999;52.3771959
